iter	Passed	Remaining
0	0	72
1	1	67
2	1	64
3	2	59
4	3	59
5	3	59
6	4	60
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	56
13	9	55
14	9	54
15	10	53
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	37
41	26	35
42	26	35
43	27	34
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	16
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	52	10
84	53	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
